text,Poor quality: nothing,Reliability,Machines,Ease of use,No issues,Location,Customer Service,Good deals,Ease of betting,Service Efficiency,Atmosphere,Clean and comfortable,Fast payouts,Smooth process,Friendly & Helpful Staff,Trust and Reliability,Cleanliness,Winning outcomes & perceptions of winning odds,Good odds,Other,Country,Age,Brand
Bet there often with no problem ,,,,,1,,,,,,,,,,,,,,,,UK,Over 35,William Hill
Convenient stores,,,,,,,,,,,,,,,,,,,,1,UK,Over 35,Ladbrokes
Good shop ,,,,,,,,,,,1,,,,,,,,,,IR,Over 35,Ladbrokes
Good customer service and knowledgeable ,,,,,,,1,,,,,,,,,,,,,,UK,Over 35,Coral
I feel comfortable going in this shop ,,,,,,,1,,,,1,,,,,,,,,,UK,Over 35,Paddy Power
I won,,,,,,,,,,,,,,,,,,1,,,UK,Over 35,Betfred
Great offers and good prices ,,,,,,,1,1,,,,,,,,,,,,,UK,Over 35,William Hill
Its very easy to put a bet on,,,,1,,,,,1,,,,,,,,,,,,UK,Over 35,William Hill
Quick and easy ,,,,1,,,,,,1,,,,1,,,,,,,UK,Over 35,Paddy Power
LONG QUEUES BUT FRIENDLY STAFF,,,,,,,,,,,,,,,1,,,,,,UK,Over 35,Ladbrokes
"Well I was able to put on my bet with no hassle, got good odds and the people were friendly ",,,,,,,,,1,,,,,,,,,,1,,IR,Over 35,Boyle Sports
I had a win,,,,,,,,,,,,,,,,,,1,,,IR,Over 35,Paddy Power
As. They are ,,,,,,,,,,,,,,,,,,,,1,UK,Over 35,William Hill
No problem in shop with Boyles...just hate their website,,,,,,,,,,,,,,,,,,,,1,IR,Over 35,Boyle Sports
Done my bet no problems ,,,,,1,,,,,,,,,,,,,,,,IR,Over 35,Paddy Power
I’m going on my ,,,,,,,,,,,,,,,,,,,,1,UK,Under 35,Paddy Power
Only one I use as don’t like yo have lots different accounts ,,,,,,,,,,,,,,,,,,,,1,UK,Over 35,Paddy Power
Customer Service Ok,,,,,,,1,,,,,,,,,,,,,,UK,Over 35,William Hill
Good fun,,,,,,,,,,,1,,,,,,,,,,UK,Under 35,William Hill
Great company,,,,,,,,,,,,,,,,,,,,1,UK,Over 35,William Hill
great staff,,,,,,,,,,,,,,,1,,,,,,UK,Over 35,William Hill
It was fine I had no problems. Was fun,,,,,1,,,,,,1,,,1,,,,,,,UK,Under 35,Ladbrokes
Welcoming ,,,,,,,,,,,,,,,,,,,,1,UK,Over 35,William Hill
They are a good company ,,,,,,,1,,,,,,,,,,,,,,IR,Under 35,Boyle Sports
No reason ,1,,,,,,,,,,,,,,,,,,,,UK,Over 35,Betfred
Easy to place bets,,,,1,,,,,1,,,,,,,,,,,,UK,Over 35,Betfred
Nice atmosphere in shop and bets for all to see in shop,,,,,,,,,,,1,,,,,,,,,,IR,Over 35,Paddy Power
Customer servis good and best prices,,,,,,,1,,,,,,,,,,,,,,UK,Over 35,Coral
Friendly staff,,,,1,,,,,,,,,,,1,,,,,,IR,Under 35,Paddy Power
Friendly staff and welcoming atmosphere,,,,,,,,,,,1,,,,1,,,,,,IR,Over 35,Paddy Power
Good attention and nice surroundings,,,,,,,,,,,1,1,,,,,1,,,,UK,Over 35,Coral
"It was easy, staff were helpful ",,,,1,,,,,,,,,,,1,,,,,,UK,Over 35,Paddy Power
everyone was so helpful I needed help with the money situation. They always came to my side.,,,,,,,,,,,,,,,1,,,,,,UK,Under 35,Paddy Power
They are a reliable company,,1,,,,,1,,,,,,,,,1,,,,,IR,Under 35,Paddy Power
I won,,,,,,,,,,,,,,,,,,1,,,UK,Over 35,Paddy Power
I won money ,,,,,,,,,,,,,,,,,,1,,,IR,Under 35,Paddy Power
Helpful to customers,,,,,,,1,,,,,,,,,,,,,,IR,Over 35,Paddy Power
"Smooth transaction, pleasant and helpful staff, good odds. ",,,,,,,,,,,1,,,,1,,,,1,,UK,Over 35,Betfred
"Quick service,  office was clean and tidy. Staff were efficient ",,,,,,,,,,,,,,,1,,1,,,,IR,Over 35,Paddy Power
Easy to use,,,,1,,,,,,,,,,,,,,,,,UK,Over 35,William Hill
Helpful staff ,,,,,,,,,,,,,,,1,,,,,,UK,Over 35,Ladbrokes
I won my bet,,,,,,,,,,,,,,,,,,1,,,UK,Under 35,Ladbrokes
had no problems,,,,,1,,,,,,,,,1,,,,,,,IR,Over 35,Paddy Power
Straightforward to place a bet and the location of the shop is convenient ,,,,1,,,,,1,,,,,,,,,,,,IR,Under 35,Paddy Power
i like it,,,,,,,,,,,,,,,,,,,,1,IR,Over 35,Paddy Power
prices,,,,,,,,,,,,,,,,,,,,1,IR,Over 35,Paddy Power
Quick service,,,,1,,,1,,,,,,,,,,,,,,IR,Over 35,Paddy Power
The employees behind the counter were really nice. The store was tidy and not too overcrowded,,,,,,,,,,,,,,,1,,,,,,IR,Under 35,Paddy Power
They are very reasonable with their prices and they have good betting odds and payouts.,,,,,,,,,,,,,,,,,,,1,,IR,Under 35,Paddy Power
Quality customer service ,,,,,,,1,,,,,,,,,,,,,,IR,Over 35,Boyle Sports
Friendly staff ,,,,,,,,,,,,,,,1,,,,,,IR,Over 35,Ladbrokes
They have free games ,,,,,,,,,,,,,,,,,,,,1,IR,Over 35,Ladbrokes
I think the staff is friendly and helpful,,,,,,,,,,,,,,,1,,,,,,IR,Over 35,Boyle Sports
Got the best pricez,,,,,,,1,,,,,,,,,,,,,,IR,Over 35,Boyle Sports
The premises are comfortable and well laid out,,,,,,,,,,,1,1,,,,,,,,,IR,Over 35,Boyle Sports
Clean shop,,,,,,,,,,,,,,,,,1,,,,IR,Under 35,Boyle Sports
Very easy to place a bet and very helpful staff and very easy to redeem winnings.,,,,1,,,,,1,,,,,,1,,,,,,IR,Under 35,Ladbrokes
Easy layout ,,,,1,,,,,,,,,,,,,,,,,IR,Under 35,Boyle Sports
The odds are veery bad,,,,,,,,,,,,,,,,,,,1,,IR,Over 35,Ladbrokes
Easy to do,,,,1,,,,,,,,,,,,,,,,,IR,Under 35,Boyle Sports
Great services of staff,,,,,,,,,,,,,,,1,,,,,,IR,Over 35,Ladbrokes
Is soláthraí an-éasca é an suíomh seo,,,,,,,,,,,,,,,,,,,,1,IR,Over 35,Ladbrokes
Its a very nice place to bet and they value my custom.,,,,,,,,,,,,,,,,,,,,1,IR,Over 35,Boyle Sports
is was betting on the euros ,,,,,,,,,,,,,,,,,,,,1,IR,Over 35,Boyle Sports
Friendly staff ,,,,,,,,,,,,,,,1,,,,,,IR,Over 35,Boyle Sports
"It's near where I live, I like their services",,,,,,1,1,,,,,,,,,,,,,,IR,Under 35,Boyle Sports
Good atmosphere and friendly staff ,,,,,,,,,,,1,,,,1,,,,,,IR,Over 35,Boyle Sports
offering bonus ,,,,,,,,1,,,,,,,,,,,,,IR,Over 35,Boyle Sports
Nice and clean and staff were great ,,,,,,,,,,,,1,,,1,,1,,,,IR,Over 35,Boyle Sports
Quick withdrawals and also a lot of free bonuses ,,,,,,,,,,,,,1,,,,,,,,IR,Under 35,Ladbrokes
Tá soláthraí suímh éagsúla maith agus luachmhar,,,,,,,,,,,,,,,,,,,,1,IR,Over 35,Ladbrokes
Good experience and customer service ,,,,,,,,,,,1,,,,,,,,,,IR,Under 35,Ladbrokes
I didn't have any issues with them,,,,,1,,,,,,,,,,,,,,,,IR,Under 35,Ladbrokes
Is fearr airgead a infheistiú,,,,,,,,,,,,,,,,,,,,1,IR,Over 35,Ladbrokes
Quick service ,,,,1,,,1,,,1,,,,,,,,,,,IR,Over 35,Ladbrokes
Very friendly staff,,,,,,,,,,,,,,,1,,,,,,IR,Over 35,Ladbrokes
"Good winnings and playing games, slots ",,,,,,,,,,,,,,,,,,1,1,,IR,Under 35,Ladbrokes
Great customer service ,,,,,,,1,,,,,,,,,,,,,,IR,Under 35,Ladbrokes
Helpful staff,,,,,,,,,,,,,,,1,,,,,,IR,Under 35,Ladbrokes
Great staff and environment with great machines and easy to place bets and redeem winnings.,,,1,,,,,,,,1,,,,1,,,,,,IR,Under 35,Ladbrokes
It was easy to place the bet,,,,1,,,,,1,,,,,1,,,,,,,UK,Over 35,Betfred
Friendly staff,,,,1,,,,,,,,,,,1,,,,,,UK,Over 35,Ladbrokes
DECENT ATMOSTPHERE & FRIENDLY STAFF,,,,,,,,,,,1,,,,1,,,,,,UK,Over 35,Coral
Best odds of wins,,,,,,,,,,,,,,,,,,,1,,UK,Over 35,Coral
Productive,,,,,,,,,,,,,,,,,,,,1,UK,Over 35,William Hill
Good deals and a regular ,,,,,,,,1,,,,,,,,,,,,,UK,Over 35,Paddy Power
I won,,,,,,,,,,,,,,,,,,1,,,UK,Over 35,Coral
Faster payouts,,,,,,,,,,,,,1,,,,,,,,UK,Over 35,Coral
placed the bet I wanted so was satisfied,,,,,,,,,,,,,,,,,,,,1,UK,Over 35,Coral
Staff was friendly and it was easy to place the bet,,,,,,,,,1,,,,,,1,,,,1,,UK,Over 35,William Hill
They have good service ,,,,,,,,,,1,,,,,,,,,,,UK,Over 35,Betfred
Great customer service and quick pay out ,,,,,,,,,,,,,1,,,,,,,,UK,Over 35,Paddy Power
Nice staff ,,,,,,,,,,,,1,,,1,,,,,,UK,Over 35,William Hill
There friendly and Easy to understand ,,,,1,,,,,,,,,,,,,,,,,UK,Over 35,Coral
Trustworthy and good customer service,,1,,,,,,,,,,,,,,1,,,,,UK,Over 35,William Hill
They have good customer service and it is easy to place bets with them,,,,,,,1,,1,,,,,,,,,,,,UK,Over 35,Ladbrokes
"Used coral for many years, never had any problems.",,,,,,,,,,,,,,,,,,,,1,UK,Over 35,Coral
They are really genuine and open ,,,,,,,,,,,,,,,,,,,,1,UK,Under 35,Ladbrokes
Easy to place bets,,,,1,,,,,1,,,,,,,,,,,,UK,Over 35,Coral
good experience,,,,,,,1,,,,,,,,,,,,,,UK,Over 35,Betfred
Good ambience to play ,,,,,,,,,,,1,1,,,,,,,,,UK,Over 35,Ladbrokes
Like it,,,,,,,,,,,,,,,,,,,,1,UK,Over 35,Coral
Friendly and efficient service ,,,,1,,,,,,1,,1,,1,,,,,,,UK,Over 35,Paddy Power
The location and people ,,,,,,,,,,,,1,,,,,,,,,UK,Over 35,Ladbrokes
Great ,,,,,,,,,,,,,,,,,,,,1,UK,Over 35,William Hill
Excellent loyal customer service ,,,,,,,,,,,,,,,,1,,,,,UK,Over 35,Ladbrokes
personal choice,,,,,,,,,,,,,,,,,,,,1,UK,Over 35,Coral
I had a good experience and felt satisfied ,,,,,,,,,,,,,,1,,,,,,,UK,Over 35,Ladbrokes
A variety of different ways to bet convenient and easy to use the website really great customer service ,,,,,,,1,,1,,,,,,,,,,,,UK,Under 35,Ladbrokes
friendly,,,,,,,,,,,,,,,1,,,,,,UK,Over 35,Coral
Staff are always friendly ,,,,,,,,,,,,,,,1,,,,,,UK,Over 35,Betfred
Straight forward.,,,,,,,,,,,,,,,,,,,,1,UK,Over 35,Ladbrokes
Nice atmosphere ,,,,,,,,,,,1,,,,,,,,,,IR,Under 35,Ladbrokes
It has a nice invirement and the staff are nice,,,,,,,,,,,1,1,,,1,,,,,,UK,Over 35,Paddy Power
Organized place,,,,,,,,,,,,,,,,,,,,1,IR,Over 35,Ladbrokes
I won,,,,,,,,,,,,,,,,,,1,,,IR,Under 35,Ladbrokes
Great staff,,,,,,,,,,,,,,,1,,,,,,IR,Over 35,Ladbrokes
It was busy the day I attended,,,,,,,,,,,,,,,,,,,,1,IR,Over 35,Ladbrokes
a pleasant experience ,,,,,,,,,,,1,1,,1,,,,,,,IR,Over 35,Ladbrokes
Caighdeán níos fearr agus iontach,,,,,,,,,,,,,,,,,,,,1,IR,Over 35,Ladbrokes
Is soláthraí an-tarraingteach é,,,,,,,,,,,,,,,,,,,,1,IR,Over 35,Ladbrokes
Soláthraí éagsúla agus léirithe suímh,,,,,,,,,,,,,,,,,,,,1,IR,Over 35,Ladbrokes
